dates,dec.yr,Qsal,gam.s1,gam.s1.fn,gam.s2,gam.s2.fn,gam.s3,gam.s3.fn
4/26/2009,2009.315068,2.963919356,1.668900898,1.861260054,1.849115627,1.862189298,1.771365328,1.860989403
5/8/2009,2009.347945,3.729145342,2.636683081,1.921996617,2.051675391,1.998604892,2.3026084,1.964780806
6/21/2009,2009.468493,3.583387404,2.860503904,2.243124235,2.421251819,2.376967906,2.615118023,2.317034022
7/8/2009,2009.515068,3.727617551,3.050813337,2.20463983,2.467329866,2.417285737,2.728102431,2.321687577
8/15/2009,2009.619178,3.642302297,2.799159645,2.19595039,2.30099015,2.295088095,2.529583711,2.250027722
9/8/2009,2009.684932,3.255875694,2.201008523,1.846232476,2.089265293,2.100099607,2.142003984,1.982967035
10/20/2009,2009.8,2.338284346,0.892089873,1.075775619,1.697936245,1.679624759,1.315939773,1.393682587
11/21/2009,2009.887671,3.521311513,1.609513036,1.519819897,1.23232754,1.244635317,1.415839019,1.378818959
12/15/2009,2009.953425,2.814891069,0.804210037,1.068926572,1.133445228,1.0943858,0.973094894,1.0827982
1/1/2010,2010,2.745289297,0.672873327,1.174279171,1.071710074,1.001364591,0.875289902,1.087465389
2/4/2010,2010.093151,3.710241739,1.617722075,1.305405765,1.051608834,1.079799703,1.336751079,1.193541089
3/27/2010,2010.232877,3.717061109,2.143630309,2.060968007,1.570704005,1.569440977,1.866924124,1.823509411
4/4/2010,2010.254795,3.610598907,2.134738691,1.652890003,1.668274773,1.65381708,1.910366218,1.652800061
5/16/2010,2010.369863,3.881099041,2.929445841,2.039627201,2.192483577,2.116235497,2.584002672,2.074763389
6/14/2010,2010.449315,2.530873774,1.66845931,2.201981055,2.281722298,2.335824659,1.949673426,2.26290385
7/30/2010,2010.575342,1.979770946,1.113130365,2.149298806,2.277497979,2.361944085,1.633038678,2.244267712
8/13/2010,2010.613699,2.891012651,2.039628407,2.204313674,2.292750939,2.303451527,2.151916397,2.248446326
9/7/2010,2010.682192,1.337010904,0.261721989,1.855574969,2.068848252,2.109442141,1.049920034,1.966835384
10/9/2010,2010.769863,2.354667558,1.016613017,1.194988141,1.806077268,1.798838397,1.35497246,1.45400145
11/4/2010,2010.841096,3.653855734,1.9357274,1.722690191,1.425999166,1.447507312,1.722033245,1.607729699
12/23/2010,2010.975342,1.236592129,-0.547726803,1.04362693,1.359809686,1.069087044,0.23236697,1.054570247
1/16/2011,2011.041096,4.70543237,2.377080719,1.194176085,0.81577587,1.021263046,1.749132448,1.12487563
2/24/2011,2011.147945,2.963378029,1.124965607,1.497077355,1.305716455,1.271473229,1.195600645,1.408590882
3/19/2011,2011.210959,3.962218357,2.323320099,2.006315175,1.505235286,1.51478626,2.00799564,1.816720611
4/22/2011,2011.30411,3.04004099,1.804034602,1.912822348,1.908126907,1.913750178,1.842564274,1.912645062
5/6/2011,2011.342466,2.126387122,0.954927852,1.976005279,1.972673393,2.052612627,1.332113235,2.003892739
6/27/2011,2011.484932,3.366153564,2.655014223,2.244621393,2.43299663,2.378465211,2.575621215,2.291964802
7/29/2011,2011.572603,3.454970531,2.734336325,2.135603376,2.423500512,2.348248737,2.626486024,2.209412282
8/30/2011,2011.660274,2.129263189,1.083167514,2.087577535,2.098040055,2.186714219,1.426714097,2.121467571
9/24/2011,2011.728767,3.117251343,1.936902708,1.700929134,1.963782894,1.954794933,1.946363119,1.785637246
10/24/2011,2011.810959,2.288425611,0.802689429,1.043268659,1.658394862,1.647118039,1.080478542,1.2394722
11/18/2011,2011.879452,2.366909483,0.650802909,1.582827933,1.428022869,1.307645024,0.898319709,1.495887782
12/14/2011,2011.950685,3.71871722,1.600008235,1.101704966,1.025418173,1.127166137,1.42144359,1.109990101
1/6/2012,2012.013699,4.021973494,1.763296807,1.191988807,0.885450936,1.019076346,1.495260838,1.139334966
2/20/2012,2012.136986,2.369140138,0.625167431,1.494074775,1.400155495,1.268470289,0.852292041,1.427749277
3/25/2012,2012.230137,2.979305343,1.507331441,2.139597167,1.672156928,1.648067605,1.553727274,1.999879122
4/14/2012,2012.284932,2.456397616,1.185418483,1.889753974,1.873152374,1.890680704,1.376043769,1.889618544
5/12/2012,2012.361644,3.710085433,2.784141748,2.072877364,2.218191055,2.149484809,2.631185337,2.093146705
