USGS	01594440	1986-01-01	156	A
USGS	01594440	1986-01-02	147	A
USGS	01594440	1986-01-03	155	A
USGS	01594440	1986-01-04	161	A
USGS	01594440	1986-01-05	158	A
USGS	01594440	1986-01-06	154	A
USGS	01594440	1986-01-07	148	A
USGS	01594440	1986-01-08	131	A
USGS	01594440	1986-01-09	130	A
USGS	01594440	1986-01-10	142	A
USGS	01594440	1986-01-11	145	A
USGS	01594440	1986-01-12	140	A
USGS	01594440	1986-01-13	146	A
USGS	01594440	1986-01-14	133	A
USGS	01594440	1986-01-15	131	A
USGS	01594440	1986-01-16	128	A
USGS	01594440	1986-01-17	136	A
USGS	01594440	1986-01-18	140	A
USGS	01594440	1986-01-19	158	A
USGS	01594440	1986-01-20	253	A
USGS	01594440	1986-01-21	224	A
USGS	01594440	1986-01-22	174	A
USGS	01594440	1986-01-23	164	A
USGS	01594440	1986-01-24	152	A
USGS	01594440	1986-01-25	153	A
USGS	01594440	1986-01-26	638	A
USGS	01594440	1986-01-27	1200	A
USGS	01594440	1986-01-28	440	A
USGS	01594440	1986-01-29	227	A
USGS	01594440	1986-01-30	208	A
USGS	01594440	1986-01-31	198	A
USGS	01594440	1986-02-01	191	A
USGS	01594440	1986-02-02	195	A
USGS	01594440	1986-02-03	209	A
USGS	01594440	1986-02-04	416	A
USGS	01594440	1986-02-05	869	A
USGS	01594440	1986-02-06	486	A
USGS	01594440	1986-02-07	362	A
USGS	01594440	1986-02-08	288	A
USGS	01594440	1986-02-09	267	A
USGS	01594440	1986-02-10	269	A
USGS	01594440	1986-02-11	272	A
USGS	01594440	1986-02-12	261	A
USGS	01594440	1986-02-13	219	A
USGS	01594440	1986-02-14	193	A
USGS	01594440	1986-02-15	210	A
USGS	01594440	1986-02-16	209	A
USGS	01594440	1986-02-17	217	A
USGS	01594440	1986-02-18	419	A
USGS	01594440	1986-02-19	1000	A
USGS	01594440	1986-02-20	754	A
USGS	01594440	1986-02-21	485	A
USGS	01594440	1986-02-22	438	A
USGS	01594440	1986-02-23	382	A
USGS	01594440	1986-02-24	445	A
USGS	01594440	1986-02-25	412	A
USGS	01594440	1986-02-26	395	A
USGS	01594440	1986-02-27	372	A
USGS	01594440	1986-02-28	392	A
USGS	01594440	1986-03-01	371	A
USGS	01594440	1986-03-02	355	A
USGS	01594440	1986-03-03	305	A
USGS	01594440	1986-03-04	292	A
USGS	01594440	1986-03-05	311	A
USGS	01594440	1986-03-06	274	A
USGS	01594440	1986-03-07	251	A
USGS	01594440	1986-03-08	241	A
USGS	01594440	1986-03-09	238	A
USGS	01594440	1986-03-10	246	A
USGS	01594440	1986-03-11	250	A
USGS	01594440	1986-03-12	250	A
USGS	01594440	1986-03-13	242	A
USGS	01594440	1986-03-14	324	A
USGS	01594440	1986-03-15	630	A
USGS	01594440	1986-03-16	591	A
USGS	01594440	1986-03-17	421	A
USGS	01594440	1986-03-18	309	A
USGS	01594440	1986-03-19	285	A
USGS	01594440	1986-03-20	280	A
USGS	01594440	1986-03-21	266	A
USGS	01594440	1986-03-22	258	A
USGS	01594440	1986-03-23	258	A
USGS	01594440	1986-03-24	258	A
USGS	01594440	1986-03-25	241	A
USGS	01594440	1986-03-26	232	A
USGS	01594440	1986-03-27	232	A
USGS	01594440	1986-03-28	229	A
USGS	01594440	1986-03-29	229	A
USGS	01594440	1986-03-30	228	A
USGS	01594440	1986-03-31	225	A
USGS	01594440	1986-04-01	215	A
USGS	01594440	1986-04-02	188	A
USGS	01594440	1986-04-03	171	A
USGS	01594440	1986-04-04	166	A
USGS	01594440	1986-04-05	169	A
USGS	01594440	1986-04-06	335	A
USGS	01594440	1986-04-07	355	A
USGS	01594440	1986-04-08	250	A
USGS	01594440	1986-04-09	208	A
USGS	01594440	1986-04-10	188	A
USGS	01594440	1986-04-11	180	A
USGS	01594440	1986-04-12	181	A
USGS	01594440	1986-04-13	173	A
USGS	01594440	1986-04-14	170	A
USGS	01594440	1986-04-15	168	A
USGS	01594440	1986-04-16	816	A
USGS	01594440	1986-04-17	1070	A
USGS	01594440	1986-04-18	1030	A
USGS	01594440	1986-04-19	738	A
USGS	01594440	1986-04-20	356	A
USGS	01594440	1986-04-21	311	A
USGS	01594440	1986-04-22	321	A
USGS	01594440	1986-04-23	333	A
USGS	01594440	1986-04-24	278	A
USGS	01594440	1986-04-25	251	A
USGS	01594440	1986-04-26	245	A
USGS	01594440	1986-04-27	238	A
USGS	01594440	1986-04-28	231	A
USGS	01594440	1986-04-29	225	A
USGS	01594440	1986-04-30	307	A
USGS	01594440	1986-05-01	209	A
USGS	01594440	1986-05-02	201	A
USGS	01594440	1986-05-03	189	A
USGS	01594440	1986-05-04	187	A
USGS	01594440	1986-05-05	188	A
USGS	01594440	1986-05-06	162	A
USGS	01594440	1986-05-07	143	A
USGS	01594440	1986-05-08	138	A
USGS	01594440	1986-05-09	133	A
USGS	01594440	1986-05-10	131	A
USGS	01594440	1986-05-11	131	A
USGS	01594440	1986-05-12	132	A
USGS	01594440	1986-05-13	129	A
USGS	01594440	1986-05-14	133	A
USGS	01594440	1986-05-15	140	A
USGS	01594440	1986-05-16	142	A
USGS	01594440	1986-05-17	145	A
USGS	01594440	1986-05-18	162	A
USGS	01594440	1986-05-19	154	A
USGS	01594440	1986-05-20	162	A
USGS	01594440	1986-05-21	184	A
USGS	01594440	1986-05-22	192	A
USGS	01594440	1986-05-23	166	A
USGS	01594440	1986-05-24	148	A
USGS	01594440	1986-05-25	141	A
USGS	01594440	1986-05-26	139	A
USGS	01594440	1986-05-27	137	A
