EVENT_ID,SOURCE,PROJECT,STATION,SAMPLE_DATE,SAMPLE_TIME,DEPTH,LAYER,SAMPLE_TYPE,SAMPLE_ID,PARAMETER,QUALIFIER,VALUE,UNIT,METHOD,LAB,PROBLEM,DETAILS,TOTAL_DEPTH,UPPER_PYCNOCLINE,LOWER_PYCNOCLINE,LAT,LONG
39219,MDDNR,TRIB,CB5.1W,4/8/1985,10:50,0.3,M,ISM,M1,SALINITY,,13.93,PPT,F02,,,,8,,,38.32522,-76.37574
39219,MDDNR,TRIB,CB5.1W,4/8/1985,10:50,3,M,ISM,M1,SALINITY,,13.53,PPT,F02,,,,8,,,38.32522,-76.37574
39219,MDDNR,TRIB,CB5.1W,4/8/1985,10:50,6.1,M,ISM,M1,SALINITY,,13.86,PPT,F02,,,,8,,,38.32522,-76.37574
39219,MDDNR,TRIB,CB5.1W,4/8/1985,10:50,7.5,M,ISM,M1,SALINITY,,13.93,PPT,F02,,,,8,,,38.32522,-76.37574
39220,MDDNR,TRIB,CB5.1W,4/22/1985,9:17,0.3,M,ISM,M1,SALINITY,,11.87,PPT,F02,,,,9,,,38.32522,-76.37574
39220,MDDNR,TRIB,CB5.1W,4/22/1985,9:17,3,M,ISM,M1,SALINITY,,12.59,PPT,F02,,,,9,,,38.32522,-76.37574
39220,MDDNR,TRIB,CB5.1W,4/22/1985,9:17,6.1,M,ISM,M1,SALINITY,,12.79,PPT,F02,,,,9,,,38.32522,-76.37574
39220,MDDNR,TRIB,CB5.1W,4/22/1985,9:17,9.1,M,ISM,M1,SALINITY,,14.13,PPT,F02,,,,9,,,38.32522,-76.37574
39221,MDDNR,TRIB,CB5.1W,5/6/1985,11:20,0.3,M,ISM,M1,SALINITY,,12.93,PPT,F02,,,,8.5,,,38.32522,-76.37574
39221,MDDNR,TRIB,CB5.1W,5/6/1985,11:20,3,M,ISM,M1,SALINITY,,12.93,PPT,F02,,,,8.5,,,38.32522,-76.37574
39221,MDDNR,TRIB,CB5.1W,5/6/1985,11:20,6.1,M,ISM,M1,SALINITY,,13.33,PPT,F02,,,,8.5,,,38.32522,-76.37574
39221,MDDNR,TRIB,CB5.1W,5/6/1985,11:20,8,M,ISM,M1,SALINITY,,13.99,PPT,F02,,,,8.5,,,38.32522,-76.37574
39222,MDDNR,TRIB,CB5.1W,5/20/1985,10:10,0.3,M,ISM,M1,SALINITY,,14.19,PPT,F02,,,,9,,,38.32522,-76.37574
39222,MDDNR,TRIB,CB5.1W,5/20/1985,10:10,3,M,ISM,M1,SALINITY,,14.26,PPT,F02,,,,9,,,38.32522,-76.37574
39222,MDDNR,TRIB,CB5.1W,5/20/1985,10:10,6.1,M,ISM,M1,SALINITY,,14.4,PPT,F02,,,,9,,,38.32522,-76.37574
39222,MDDNR,TRIB,CB5.1W,5/20/1985,10:10,8.5,M,ISM,M1,SALINITY,,15.41,PPT,F02,,,,9,,,38.32522,-76.37574
39223,MDDNR,TRIB,CB5.1W,6/3/1985,9:30,0.3,M,ISM,M1,SALINITY,,13.57,PPT,F02,,,,9,,,38.32522,-76.37574
39223,MDDNR,TRIB,CB5.1W,6/3/1985,9:30,3,M,ISM,M1,SALINITY,,13.75,PPT,F02,,,,9,,,38.32522,-76.37574
39223,MDDNR,TRIB,CB5.1W,6/3/1985,9:30,6.1,M,ISM,M1,SALINITY,,13.85,PPT,F02,,,,9,,,38.32522,-76.37574
39223,MDDNR,TRIB,CB5.1W,6/3/1985,9:30,8.5,M,ISM,M1,SALINITY,,14.4,PPT,F02,,,,9,,,38.32522,-76.37574
39224,MDDNR,TRIB,CB5.1W,6/17/1985,9:20,0.3,M,ISM,M1,SALINITY,,14.33,PPT,F02,,,,8.5,,,38.32522,-76.37574
39224,MDDNR,TRIB,CB5.1W,6/17/1985,9:20,3,M,ISM,M1,SALINITY,,14.53,PPT,F02,,,,8.5,,,38.32522,-76.37574
39224,MDDNR,TRIB,CB5.1W,6/17/1985,9:20,6.1,M,ISM,M1,SALINITY,,14.87,PPT,F02,,,,8.5,,,38.32522,-76.37574
39224,MDDNR,TRIB,CB5.1W,6/17/1985,9:20,8,M,ISM,M1,SALINITY,,15.07,PPT,F02,,,,8.5,,,38.32522,-76.37574
