Station,Date,Time (EST),Date+Time,DO (conc.),DO (%),Salinity (ppt),Temp (°C),Temp (°F),pH,Turbidity (NTU),Chlorophyll a (µg/l)
Patuxent River - Jug Bay,01-Jan-2013,00:00:17,01-Jan-2013 00:00:17,,,0.14,4.28,39.704000377655,6.82,14.1,1.8
Patuxent River - Jug Bay,01-Jan-2013,00:15:17,01-Jan-2013 00:15:17,,,0.14,4.25,39.65,6.87,13.3,2.3
Patuxent River - Jug Bay,01-Jan-2013,00:30:17,01-Jan-2013 00:30:17,,,0.14,4.32,39.7760003089905,6.81,13.7,2.3
Patuxent River - Jug Bay,01-Jan-2013,00:45:14,01-Jan-2013 00:45:14,,,0.13,4.24,39.6319995880127,6.86,16.6,2.9
Patuxent River - Jug Bay,01-Jan-2013,01:00:16,01-Jan-2013 01:00:16,,,0.14,4.26,39.6680004119873,6.81,13.3,1.9
Patuxent River - Jug Bay,01-Jan-2013,01:15:17,01-Jan-2013 01:15:17,,,0.15,4.25,39.65,6.94,13.4,1.9
Patuxent River - Jug Bay,01-Jan-2013,01:30:17,01-Jan-2013 01:30:17,,,0.13,4.26,39.6680004119873,6.83,13.4,2.4
Patuxent River - Jug Bay,01-Jan-2013,01:45:17,01-Jan-2013 01:45:17,,,0.14,4.24,39.6319995880127,6.82,13.7,2.2
Patuxent River - Jug Bay,01-Jan-2013,02:00:18,01-Jan-2013 02:00:18,,,0.15,4.23,39.6140000343323,6.97,12.6,2.2
Patuxent River - Jug Bay,01-Jan-2013,02:15:16,01-Jan-2013 02:15:16,,,0.14,4.22,39.595999622345,6.99,12.2,2.4
Patuxent River - Jug Bay,01-Jan-2013,02:30:16,01-Jan-2013 02:30:16,,,0.14,4.22,39.595999622345,6.84,13.6,1.9
Patuxent River - Jug Bay,01-Jan-2013,02:45:17,01-Jan-2013 02:45:17,,,0.14,4.21,39.5780000686646,6.83,11.4,2.1
Patuxent River - Jug Bay,01-Jan-2013,03:00:17,01-Jan-2013 03:00:17,,,0.15,4.23,39.6140000343323,6.94,12.3,2.4
Patuxent River - Jug Bay,01-Jan-2013,03:15:17,01-Jan-2013 03:15:17,,,0.14,4.2,39.5599996566772,6.98,11.7,2.3
Patuxent River - Jug Bay,01-Jan-2013,03:30:17,01-Jan-2013 03:30:17,,,0.14,4.16,39.4879997253418,6.95,12.5,2.0
Patuxent River - Jug Bay,01-Jan-2013,03:45:19,01-Jan-2013 03:45:19,,,0.14,4.16,39.4879997253418,6.95,11.6,2.6
Patuxent River - Jug Bay,01-Jan-2013,04:00:18,01-Jan-2013 04:00:18,,,0.14,4.21,39.5780000686646,6.85,10.6,2.6
Patuxent River - Jug Bay,01-Jan-2013,04:15:18,01-Jan-2013 04:15:18,,,0.14,4.34,39.8120002746582,6.95,10.4,2.9
Patuxent River - Jug Bay,01-Jan-2013,04:30:17,01-Jan-2013 04:30:17,,,0.14,4.44,39.9920001029968,6.94,14.4,2.5
Patuxent River - Jug Bay,01-Jan-2013,04:45:17,01-Jan-2013 04:45:17,,,0.14,4.42,39.9560001373291,6.83,12.8,2.0
Patuxent River - Jug Bay,01-Jan-2013,05:00:16,01-Jan-2013 05:00:16,,,0.14,4.27,39.6859999656677,6.81,15.4,2.4
Patuxent River - Jug Bay,01-Jan-2013,05:15:17,01-Jan-2013 05:15:17,,,0.14,4.37,39.8659997940063,6.8,14.4,2.2
Patuxent River - Jug Bay,01-Jan-2013,05:30:18,01-Jan-2013 05:30:18,,,0.14,4.49,40.0819995880127,6.95,12.3,2.3
Patuxent River - Jug Bay,01-Jan-2013,05:45:17,01-Jan-2013 05:45:17,,,0.14,4.54,40.1719999313354,6.98,13.6,2.4
Patuxent River - Jug Bay,01-Jan-2013,06:00:14,01-Jan-2013 06:00:14,,,0.14,4.54,40.1719999313354,6.82,21.4,2.3
Patuxent River - Jug Bay,01-Jan-2013,06:15:16,01-Jan-2013 06:15:16,,,0.14,4.54,40.1719999313354,6.96,10.6,2.0
Patuxent River - Jug Bay,01-Jan-2013,06:30:18,01-Jan-2013 06:30:18,,,0.14,4.54,40.1719999313354,6.84,12.8,2.0
Patuxent River - Jug Bay,01-Jan-2013,06:45:18,01-Jan-2013 06:45:18,,,0.15,4.22,39.595999622345,6.81,11.1,2.5
Patuxent River - Jug Bay,01-Jan-2013,07:00:18,01-Jan-2013 07:00:18,,,0.15,4.53,40.154000377655,6.82,11.6,2.1
Patuxent River - Jug Bay,01-Jan-2013,07:15:18,01-Jan-2013 07:15:18,,,0.15,4.54,40.1719999313354,6.98,11.6,2.8
Patuxent River - Jug Bay,01-Jan-2013,07:30:18,01-Jan-2013 07:30:18,,,0.14,4.45,40.0099996566772,6.98,12.1,2.2
Patuxent River - Jug Bay,01-Jan-2013,07:45:18,01-Jan-2013 07:45:18,,,0.15,4.53,40.154000377655,6.88,11.9,2.5
Patuxent River - Jug Bay,01-Jan-2013,08:00:17,01-Jan-2013 08:00:17,,,0.15,4.49,40.0819995880127,6.8,14.4,2.9
Patuxent River - Jug Bay,01-Jan-2013,08:15:17,01-Jan-2013 08:15:17,,,0.15,4.61,40.2980002403259,6.94,13.6,1.9
Patuxent River - Jug Bay,01-Jan-2013,08:30:17,01-Jan-2013 08:30:17,,,0.15,4.59,40.2620002746582,6.8,14.1,2.3
Patuxent River - Jug Bay,01-Jan-2013,08:45:17,01-Jan-2013 08:45:17,,,0.15,4.54,40.1719999313354,6.77,12.9,2.1
Patuxent River - Jug Bay,01-Jan-2013,09:00:17,01-Jan-2013 09:00:17,,,0.15,4.47,40.045999622345,6.75,13.7,2.3
Patuxent River - Jug Bay,01-Jan-2013,09:15:16,01-Jan-2013 09:15:16,,,0.14,4.23,39.6140000343323,6.74,13.4,2.2
Patuxent River - Jug Bay,01-Jan-2013,09:30:17,01-Jan-2013 09:30:17,,,0.14,4.31,39.7579998970032,6.74,12.5,1.9
Patuxent River - Jug Bay,01-Jan-2013,09:45:17,01-Jan-2013 09:45:17,,,0.14,4.42,39.9560001373291,6.74,13.0,2.3
Patuxent River - Jug Bay,01-Jan-2013,10:00:17,01-Jan-2013 10:00:17,,,0.14,4.35,39.8299998283386,6.9,13.0,2.4
Patuxent River - Jug Bay,01-Jan-2013,10:15:17,01-Jan-2013 10:15:17,,,0.14,4.42,39.9560001373291,6.75,14.4,2.0
Patuxent River - Jug Bay,01-Jan-2013,10:30:16,01-Jan-2013 10:30:16,,,0.15,4.36,39.8480002403259,6.7,12.6,2.6
Patuxent River - Jug Bay,01-Jan-2013,10:45:17,01-Jan-2013 10:45:17,,,0.15,4.6,40.2799998283386,6.71,12.5,2.4
Patuxent River - Jug Bay,01-Jan-2013,11:00:16,01-Jan-2013 11:00:16,,,0.15,4.41,39.9379997253418,6.68,13.1,2.2
Patuxent River - Jug Bay,01-Jan-2013,11:15:16,01-Jan-2013 11:15:16,,,0.15,4.42,39.9560001373291,6.66,12.8,2.4
Patuxent River - Jug Bay,01-Jan-2013,11:30:16,01-Jan-2013 11:30:16,,,0.15,4.46,40.0280000686646,6.65,13.2,2.1
Patuxent River - Jug Bay,01-Jan-2013,11:45:16,01-Jan-2013 11:45:16,,,0.15,4.42,39.9560001373291,6.66,12.2,2.6
Patuxent River - Jug Bay,01-Jan-2013,12:00:16,01-Jan-2013 12:00:16,,,0.14,4.43,39.9739996910095,6.86,13.0,2.5
Patuxent River - Jug Bay,01-Jan-2013,12:15:15,01-Jan-2013 12:15:15,,,0.14,4.48,40.0640000343323,6.86,12.3,2.0
Patuxent River - Jug Bay,01-Jan-2013,12:30:17,01-Jan-2013 12:30:17,,,0.14,4.41,39.9379997253418,6.66,12.6,2.0
Patuxent River - Jug Bay,01-Jan-2013,12:45:17,01-Jan-2013 12:45:17,,,0.14,4.41,39.9379997253418,6.63,12.5,2.1
Patuxent River - Jug Bay,01-Jan-2013,13:00:17,01-Jan-2013 13:00:17,,,0.15,5.0,41.0,6.65,11.8,2.1
Patuxent River - Jug Bay,01-Jan-2013,13:15:16,01-Jan-2013 13:15:16,,,0.14,4.51,40.1180004119873,6.9,12.1,1.8
Patuxent River - Jug Bay,01-Jan-2013,13:30:16,01-Jan-2013 13:30:16,,,0.14,4.48,40.0640000343323,6.69,12.2,2.3
Patuxent River - Jug Bay,01-Jan-2013,13:45:16,01-Jan-2013 13:45:16,,,0.14,4.49,40.0819995880127,6.68,12.2,2.6
Patuxent River - Jug Bay,01-Jan-2013,14:00:15,01-Jan-2013 14:00:15,,,0.15,4.62,40.3159997940063,6.73,12.6,2.7
Patuxent River - Jug Bay,01-Jan-2013,14:15:17,01-Jan-2013 14:15:17,,,0.15,4.68,40.4239996910095,6.76,11.7,2.3
Patuxent River - Jug Bay,01-Jan-2013,14:30:17,01-Jan-2013 14:30:17,,,0.14,4.76,40.5680004119873,6.92,10.9,2.4
Patuxent River - Jug Bay,01-Jan-2013,14:45:17,01-Jan-2013 14:45:17,,,0.14,4.75,40.55,6.78,9.7,2.2
Patuxent River - Jug Bay,01-Jan-2013,15:00:17,01-Jan-2013 15:00:17,,,0.14,4.75,40.55,6.89,11.4,2.3
Patuxent River - Jug Bay,01-Jan-2013,15:15:18,01-Jan-2013 15:15:18,,,0.14,4.72,40.495999622345,6.84,10.8,2.1
Patuxent River - Jug Bay,01-Jan-2013,15:30:17,01-Jan-2013 15:30:17,,,0.14,4.66,40.3879997253418,6.77,11.9,2.1
Patuxent River - Jug Bay,01-Jan-2013,15:45:16,01-Jan-2013 15:45:16,,,0.14,4.71,40.4780000686645,6.78,11.1,2.2
Patuxent River - Jug Bay,01-Jan-2013,16:00:17,01-Jan-2013 16:00:17,,,0.14,4.62,40.3159997940063,6.79,10.7,1.7
Patuxent River - Jug Bay,01-Jan-2013,16:15:17,01-Jan-2013 16:15:17,,,0.14,4.69,40.4420001029968,6.79,11.2,2.5
Patuxent River - Jug Bay,01-Jan-2013,16:30:16,01-Jan-2013 16:30:16,,,0.14,4.73,40.5140000343323,6.77,11.3,2.3
Patuxent River - Jug Bay,01-Jan-2013,16:45:16,01-Jan-2013 16:45:16,,,0.14,4.77,40.5859999656677,6.78,11.4,2.4
Patuxent River - Jug Bay,01-Jan-2013,17:00:16,01-Jan-2013 17:00:16,,,0.14,4.68,40.4239996910095,6.78,11.8,2.5
Patuxent River - Jug Bay,01-Jan-2013,17:15:16,01-Jan-2013 17:15:16,,,0.14,4.88,40.7840002059937,6.78,11.4,2.2
Patuxent River - Jug Bay,01-Jan-2013,17:30:16,01-Jan-2013 17:30:16,,,0.14,4.91,40.8379997253418,6.88,10.4,2.4
Patuxent River - Jug Bay,01-Jan-2013,17:45:16,01-Jan-2013 17:45:16,,,0.14,4.85,40.7299998283386,6.92,11.1,2.5
Patuxent River - Jug Bay,01-Jan-2013,18:00:16,01-Jan-2013 18:00:16,,,0.14,4.79,40.6219999313355,6.8,10.9,1.9
Patuxent River - Jug Bay,01-Jan-2013,18:15:16,01-Jan-2013 18:15:16,,,0.14,4.8,40.6400003433228,6.78,11.7,2.5
Patuxent River - Jug Bay,01-Jan-2013,18:30:16,01-Jan-2013 18:30:16,,,0.14,4.82,40.6760003089905,6.78,11.9,2.6
Patuxent River - Jug Bay,01-Jan-2013,18:45:16,01-Jan-2013 18:45:16,,,0.15,4.81,40.6579998970032,6.78,9.8,2.3
Patuxent River - Jug Bay,01-Jan-2013,19:00:16,01-Jan-2013 19:00:16,,,0.15,4.81,40.6579998970032,6.77,10.4,2.6
Patuxent River - Jug Bay,01-Jan-2013,19:15:16,01-Jan-2013 19:15:16,,,0.15,4.78,40.604000377655,6.93,12.0,2.3
Patuxent River - Jug Bay,01-Jan-2013,19:30:15,01-Jan-2013 19:30:15,,,0.15,4.78,40.604000377655,6.94,11.2,2.0
Patuxent River - Jug Bay,01-Jan-2013,19:45:16,01-Jan-2013 19:45:16,,,0.15,4.79,40.6219999313355,6.8,11.9,2.1
Patuxent River - Jug Bay,01-Jan-2013,20:00:16,01-Jan-2013 20:00:16,,,0.15,4.76,40.5680004119873,6.77,12.6,2.4
Patuxent River - Jug Bay,01-Jan-2013,20:15:16,01-Jan-2013 20:15:16,,,0.15,4.82,40.6760003089905,6.77,11.4,2.9
Patuxent River - Jug Bay,01-Jan-2013,20:30:16,01-Jan-2013 20:30:16,,,0.15,4.75,40.55,6.77,12.8,2.5
Patuxent River - Jug Bay,01-Jan-2013,20:45:16,01-Jan-2013 20:45:16,,,0.15,4.76,40.5680004119873,6.76,12.5,2.1
Patuxent River - Jug Bay,01-Jan-2013,21:00:16,01-Jan-2013 21:00:16,,,0.16,4.81,40.6579998970032,6.76,12.0,2.3
Patuxent River - Jug Bay,01-Jan-2013,21:15:17,01-Jan-2013 21:15:17,,,0.15,4.81,40.6579998970032,6.75,11.9,2.3
Patuxent River - Jug Bay,01-Jan-2013,21:30:16,01-Jan-2013 21:30:16,,,0.14,4.8,40.6400003433228,6.75,13.0,2.1
Patuxent River - Jug Bay,01-Jan-2013,21:45:16,01-Jan-2013 21:45:16,,,0.15,4.8,40.6400003433228,6.74,12.1,2.1
Patuxent River - Jug Bay,01-Jan-2013,22:00:14,01-Jan-2013 22:00:14,,,0.15,4.78,40.604000377655,6.73,12.2,2.5
Patuxent River - Jug Bay,01-Jan-2013,22:15:17,01-Jan-2013 22:15:17,,,0.14,4.71,40.4780000686645,6.75,12.8,2.6
Patuxent River - Jug Bay,01-Jan-2013,22:30:16,01-Jan-2013 22:30:16,,,0.15,4.6,40.2799998283386,6.75,12.3,2.4
Patuxent River - Jug Bay,01-Jan-2013,22:45:17,01-Jan-2013 22:45:17,,,0.14,4.6,40.2799998283386,6.75,11.4,2.2
Patuxent River - Jug Bay,01-Jan-2013,23:00:17,01-Jan-2013 23:00:17,,,0.15,4.56,40.2079998970032,6.89,11.9,2.2
Patuxent River - Jug Bay,01-Jan-2013,23:15:16,01-Jan-2013 23:15:16,,,0.14,4.53,40.154000377655,6.77,11.9,2.6
Patuxent River - Jug Bay,01-Jan-2013,23:30:16,01-Jan-2013 23:30:16,,,0.15,4.53,40.154000377655,6.75,12.5,2.2
Patuxent River - Jug Bay,01-Jan-2013,23:45:16,01-Jan-2013 23:45:16,,,0.15,4.5,40.1,6.75,11.9,2.4
Patuxent River - Jug Bay,02-Jan-2013,00:00:16,02-Jan-2013 00:00:16,,,0.15,4.69,40.4420001029968,6.89,12.2,2.5
Patuxent River - Jug Bay,02-Jan-2013,00:15:16,02-Jan-2013 00:15:16,,,0.15,4.51,40.1180004119873,6.75,11.4,2.4
Patuxent River - Jug Bay,02-Jan-2013,00:30:17,02-Jan-2013 00:30:17,,,0.15,4.59,40.2620002746582,6.74,11.5,2.1
Patuxent River - Jug Bay,02-Jan-2013,00:45:16,02-Jan-2013 00:45:16,,,0.14,4.62,40.3159997940063,6.73,12.6,2.2
Patuxent River - Jug Bay,02-Jan-2013,01:00:16,02-Jan-2013 01:00:16,,,0.14,4.62,40.3159997940063,6.73,11.9,2.4
Patuxent River - Jug Bay,02-Jan-2013,01:15:17,02-Jan-2013 01:15:17,,,0.16,5.29,41.5219999313355,6.76,11.7,2.0
Patuxent River - Jug Bay,02-Jan-2013,01:30:17,02-Jan-2013 01:30:17,,,0.17,5.43,41.7739996910095,6.76,11.9,2.1
Patuxent River - Jug Bay,02-Jan-2013,01:45:17,02-Jan-2013 01:45:17,,,0.15,4.78,40.604000377655,6.72,11.9,2.3
Patuxent River - Jug Bay,02-Jan-2013,02:00:17,02-Jan-2013 02:00:17,,,0.16,5.22,41.395999622345,6.74,11.1,2.2
Patuxent River - Jug Bay,02-Jan-2013,02:15:18,02-Jan-2013 02:15:18,,,0.16,5.05,41.0900003433228,6.74,11.0,2.5
Patuxent River - Jug Bay,02-Jan-2013,02:30:18,02-Jan-2013 02:30:18,,,0.16,4.95,40.9099996566772,6.9,10.3,1.9
Patuxent River - Jug Bay,02-Jan-2013,02:45:18,02-Jan-2013 02:45:18,,,0.16,5.02,41.0359999656677,6.76,11.2,2.4
Patuxent River - Jug Bay,02-Jan-2013,03:00:18,02-Jan-2013 03:00:18,,,0.15,4.98,40.9640000343323,6.91,10.6,2.3
Patuxent River - Jug Bay,02-Jan-2013,03:15:17,02-Jan-2013 03:15:17,,,0.16,5.04,41.0719999313354,6.91,10.3,1.9
Patuxent River - Jug Bay,02-Jan-2013,03:30:19,02-Jan-2013 03:30:19,,,0.16,4.99,40.9819995880127,6.76,10.4,2.4
Patuxent River - Jug Bay,02-Jan-2013,03:45:18,02-Jan-2013 03:45:18,,,0.15,4.98,40.9640000343323,6.75,10.3,2.0
Patuxent River - Jug Bay,02-Jan-2013,04:00:18,02-Jan-2013 04:00:18,,,0.15,5.06,41.1079998970032,6.75,11.0,2.6
Patuxent River - Jug Bay,02-Jan-2013,04:15:18,02-Jan-2013 04:15:18,,,0.15,5.08,41.1439998626709,6.75,10.4,2.2
