Station,Date,Time (EST),Date+Time,DO (conc.),DO (%),Salinity (ppt),Temp (°C),Temp (°F),pH,Turbidity (NTU),Chlorophyll a (µg/l)
Patuxent River - Jug Bay,04-Apr-2003,13:00:00,04-Apr-2003 13:00:00,9.47,90.3,0.14,13.13,55.634,7.04,13.4,5.9
Patuxent River - Jug Bay,04-Apr-2003,13:15:00,04-Apr-2003 13:15:00,9.39,89.5,0.14,13.15,55.67,7.02,14.4,6.2
Patuxent River - Jug Bay,04-Apr-2003,13:30:00,04-Apr-2003 13:30:00,9.39,89.5,0.14,13.16,55.688,7.08,12.8,6.1
Patuxent River - Jug Bay,04-Apr-2003,13:45:00,04-Apr-2003 13:45:00,9.34,89.1,0.14,13.18,55.724,7.08,14.7,6.3
Patuxent River - Jug Bay,04-Apr-2003,14:00:00,04-Apr-2003 14:00:00,9.3,88.7,0.14,13.19,55.742,7.1,12.5,6.6
Patuxent River - Jug Bay,04-Apr-2003,14:15:00,04-Apr-2003 14:15:00,9.25,88.3,0.14,13.19,55.742,7.11,14.3,6.8
Patuxent River - Jug Bay,04-Apr-2003,14:30:00,04-Apr-2003 14:30:00,9.36,89.4,0.14,13.26,55.868,7.1,13.9,5.6
Patuxent River - Jug Bay,04-Apr-2003,14:45:00,04-Apr-2003 14:45:00,9.33,89.1,0.14,13.25,55.85,7.1,16.2,4.4
Patuxent River - Jug Bay,04-Apr-2003,15:00:00,04-Apr-2003 15:00:00,9.3,88.8,0.14,13.23,55.814,7.11,14.5,5.5
Patuxent River - Jug Bay,04-Apr-2003,15:15:00,04-Apr-2003 15:15:00,9.28,88.6,0.14,13.25,55.85,7.13,12.5,6.5
Patuxent River - Jug Bay,04-Apr-2003,15:30:00,04-Apr-2003 15:30:00,9.2,87.9,0.14,13.3,55.94,7.13,13.0,6.7
Patuxent River - Jug Bay,04-Apr-2003,15:45:00,04-Apr-2003 15:45:00,9.2,87.9,0.14,13.31,55.958,7.14,13.0,6.6
Patuxent River - Jug Bay,04-Apr-2003,16:00:00,04-Apr-2003 16:00:00,9.2,88.0,0.14,13.33,55.994,7.12,13.6,7.0
Patuxent River - Jug Bay,04-Apr-2003,16:15:00,04-Apr-2003 16:15:00,9.24,88.5,0.14,13.36,56.048,7.13,13.3,6.8
Patuxent River - Jug Bay,04-Apr-2003,16:30:00,04-Apr-2003 16:30:00,9.44,90.5,0.14,13.4,56.12,7.15,13.8,6.9
Patuxent River - Jug Bay,04-Apr-2003,16:45:00,04-Apr-2003 16:45:00,9.49,90.9,0.14,13.42,56.156,7.17,14.1,6.6
Patuxent River - Jug Bay,04-Apr-2003,17:00:00,04-Apr-2003 17:00:00,9.47,90.8,0.14,13.44,56.192,7.18,12.6,7.2
Patuxent River - Jug Bay,04-Apr-2003,17:15:00,04-Apr-2003 17:15:00,9.51,91.2,0.14,13.46,56.228,7.17,13.3,7.1
Patuxent River - Jug Bay,04-Apr-2003,17:30:00,04-Apr-2003 17:30:00,9.56,91.7,0.14,13.47,56.246,7.2,14.4,6.6
Patuxent River - Jug Bay,04-Apr-2003,17:45:00,04-Apr-2003 17:45:00,9.58,92.0,0.14,13.5,56.3,7.2,13.7,6.4
Patuxent River - Jug Bay,04-Apr-2003,18:00:00,04-Apr-2003 18:00:00,9.59,92.1,0.14,13.5,56.3,7.22,15.0,6.9
Patuxent River - Jug Bay,04-Apr-2003,18:15:00,04-Apr-2003 18:15:00,9.59,92.1,0.14,13.51,56.318,7.2,12.8,7.4
Patuxent River - Jug Bay,04-Apr-2003,18:30:00,04-Apr-2003 18:30:00,9.61,92.3,0.14,13.54,56.372,7.22,12.5,8.2
