Station,Date,Time (EST),Date+Time,DO (conc.),DO (%),Salinity (ppt),Temp (°C),Temp (°F),pH,Turbidity (NTU),Chlorophyll a (µg/l)
Patuxent River - Jug Bay,01-Jan-2006,00:00:05,01-Jan-2006 00:00:05,10.99,88.5,0.16,6.06,42.908,7.05,13.7,4.4
Patuxent River - Jug Bay,01-Jan-2006,00:15:05,01-Jan-2006 00:15:05,11,88.5,0.16,6.03,42.854,7.05,13.4,3.9
Patuxent River - Jug Bay,01-Jan-2006,00:30:05,01-Jan-2006 00:30:05,10.88,87.8,0.16,6.16,43.088,7.04,12.2,4.2
Patuxent River - Jug Bay,01-Jan-2006,00:45:05,01-Jan-2006 00:45:05,10.84,87.3,0.16,6.06,42.908,7.04,12.8,3.9
Patuxent River - Jug Bay,01-Jan-2006,01:00:04,01-Jan-2006 01:00:04,10.82,87.2,0.16,6.07,42.926,7.03,12.5,3.9
Patuxent River - Jug Bay,01-Jan-2006,01:15:05,01-Jan-2006 01:15:05,10.74,86.4,0.16,6.02,42.836,7.02,12.4,4
Patuxent River - Jug Bay,01-Jan-2006,01:30:05,01-Jan-2006 01:30:05,10.82,86.9,0.16,5.95,42.71,7,14.1,4.1
Patuxent River - Jug Bay,01-Jan-2006,01:45:05,01-Jan-2006 01:45:05,10.75,86.3,0.16,5.95,42.71,7,14.1,4.5
Patuxent River - Jug Bay,01-Jan-2006,02:00:05,01-Jan-2006 02:00:05,10.88,87.6,0.16,6.05,42.89,7.03,15.5,3.9
Patuxent River - Jug Bay,01-Jan-2006,02:15:05,01-Jan-2006 02:15:05,10.86,87.4,0.16,6.05,42.89,7.02,15.9,4.6
Patuxent River - Jug Bay,01-Jan-2006,02:30:06,01-Jan-2006 02:30:06,10.9,88.1,0.16,6.21,43.178,7.04,15.3,4.1
Patuxent River - Jug Bay,01-Jan-2006,02:45:05,01-Jan-2006 02:45:05,10.92,88.3,0.17,6.24,43.232,7.04,15.3,3.8
Patuxent River - Jug Bay,01-Jan-2006,03:00:05,01-Jan-2006 03:00:05,10.88,88,0.16,6.21,43.178,7.04,17.7,4.3
Patuxent River - Jug Bay,01-Jan-2006,03:15:05,01-Jan-2006 03:15:05,10.92,88.3,0.16,6.2,43.16,7.04,19.9,4.2
Patuxent River - Jug Bay,01-Jan-2006,03:30:05,01-Jan-2006 03:30:05,10.87,87.9,0.16,6.19,43.142,7.05,18.8,4.2
Patuxent River - Jug Bay,01-Jan-2006,03:45:05,01-Jan-2006 03:45:05,10.95,88.4,0.17,6.16,43.088,7.05,20.3,3.9
Patuxent River - Jug Bay,01-Jan-2006,04:00:05,01-Jan-2006 04:00:05,10.93,88.1,0.17,6.09,42.962,7.05,19.4,4.2
Patuxent River - Jug Bay,01-Jan-2006,04:15:05,01-Jan-2006 04:15:05,10.87,87.5,0.17,6.04,42.872,7.05,19.8,3.4
Patuxent River - Jug Bay,01-Jan-2006,04:30:05,01-Jan-2006 04:30:05,10.94,88,0.17,6.02,42.836,7.05,19.7,3.8
Patuxent River - Jug Bay,01-Jan-2006,04:45:05,01-Jan-2006 04:45:05,10.87,87.5,0.17,6.02,42.836,7.05,20.5,3.6
Patuxent River - Jug Bay,01-Jan-2006,05:00:05,01-Jan-2006 05:00:05,10.92,87.8,0.16,6.01,42.818,7.05,17,3.9
Patuxent River - Jug Bay,01-Jan-2006,05:15:05,01-Jan-2006 05:15:05,10.88,87.6,0.17,6.04,42.872,7.05,16.4,3.6
Patuxent River - Jug Bay,01-Jan-2006,05:30:05,01-Jan-2006 05:30:05,10.82,87.1,0.17,6.04,42.872,7.05,14.8,3.8
Patuxent River - Jug Bay,01-Jan-2006,05:45:05,01-Jan-2006 05:45:05,10.78,86.6,0.17,5.96,42.728,7.05,15.9,4.2
Patuxent River - Jug Bay,01-Jan-2006,06:00:05,01-Jan-2006 06:00:05,10.79,86.7,0.17,5.98,42.764,7.03,16.7,3.6
Patuxent River - Jug Bay,01-Jan-2006,06:15:06,01-Jan-2006 06:15:06,10.9,87.6,0.16,5.99,42.782,7.05,16.9,3.2
Patuxent River - Jug Bay,01-Jan-2006,06:30:05,01-Jan-2006 06:30:05,10.93,87.9,0.17,5.99,42.782,7.05,16.2,3.7
Patuxent River - Jug Bay,01-Jan-2006,06:45:05,01-Jan-2006 06:45:05,10.87,87.4,0.17,6.03,42.854,7.05,15.4,3.6
Patuxent River - Jug Bay,01-Jan-2006,07:00:05,01-Jan-2006 07:00:05,10.9,87.7,0.17,6.02,42.836,7.05,16.3,3.3
Patuxent River - Jug Bay,01-Jan-2006,07:15:05,01-Jan-2006 07:15:05,10.84,87.3,0.17,6.05,42.89,7.05,18.6,3.6
Patuxent River - Jug Bay,01-Jan-2006,07:30:05,01-Jan-2006 07:30:05,10.82,87.1,0.17,6.05,42.89,7.05,20,3.6
Patuxent River - Jug Bay,01-Jan-2006,07:45:05,01-Jan-2006 07:45:05,10.87,87.5,0.17,6.02,42.836,7.04,19.8,4.1
Patuxent River - Jug Bay,01-Jan-2006,08:00:05,01-Jan-2006 08:00:05,10.84,87.3,0.17,6.03,42.854,7.03,20,3.5
Patuxent River - Jug Bay,01-Jan-2006,08:15:05,01-Jan-2006 08:15:05,10.81,87,0.17,6.05,42.89,7.03,19.8,4.3
Patuxent River - Jug Bay,01-Jan-2006,08:30:05,01-Jan-2006 08:30:05,10.81,87,0.17,6.03,42.854,7.03,16.9,4.2
