Station,Date,Time (EST),Date+Time,DO (conc.),DO (%),Salinity (ppt),Temp (°C),Temp (°F),pH,Turbidity (NTU),Chlorophyll a (µg/l)
Patuxent River - Jug Bay,01-Jan-2010,00:00:28,01-Jan-2010 00:00:28,,,0.14,2.21,35.9780000686645,7.34,31.1,3.2
Patuxent River - Jug Bay,01-Jan-2010,00:15:28,01-Jan-2010 00:15:28,,,0.14,2.23,36.0140000343323,7.35,31.8,3.2
Patuxent River - Jug Bay,01-Jan-2010,00:30:28,01-Jan-2010 00:30:28,,,0.14,2.24,36.0320000171661,7.34,39.4,2.7
Patuxent River - Jug Bay,01-Jan-2010,00:45:28,01-Jan-2010 00:45:28,,,0.14,2.26,36.0679999828339,7.34,28.0,3.7
Patuxent River - Jug Bay,01-Jan-2010,01:00:29,01-Jan-2010 01:00:29,,,0.14,2.21,35.9780000686645,7.33,30.0,3.3
Patuxent River - Jug Bay,01-Jan-2010,01:15:29,01-Jan-2010 01:15:29,,,0.13,2.18,35.924000120163,7.33,31.6,3.1
Patuxent River - Jug Bay,01-Jan-2010,01:30:29,01-Jan-2010 01:30:29,,,0.14,2.19,35.9420001029968,7.34,28.0,3.7
Patuxent River - Jug Bay,01-Jan-2010,01:45:28,01-Jan-2010 01:45:28,,,0.14,2.16,35.8880001544952,7.34,29.9,3.1
Patuxent River - Jug Bay,01-Jan-2010,02:00:28,01-Jan-2010 02:00:28,,,0.14,2.22,35.9960000514984,7.33,28.1,3.1
Patuxent River - Jug Bay,01-Jan-2010,02:15:28,01-Jan-2010 02:15:28,,,0.15,2.51,36.5179999828339,7.35,27.7,2.5
Patuxent River - Jug Bay,01-Jan-2010,02:30:28,01-Jan-2010 02:30:28,,,0.15,2.52,36.5359999656677,7.34,26.7,2.6
Patuxent River - Jug Bay,01-Jan-2010,02:45:28,01-Jan-2010 02:45:28,,,0.15,2.49,36.4820000171661,7.35,29.3,2.4
Patuxent River - Jug Bay,01-Jan-2010,03:00:28,01-Jan-2010 03:00:28,,,0.15,2.45,36.4100000858307,7.35,26.7,2.8
Patuxent River - Jug Bay,01-Jan-2010,03:15:28,01-Jan-2010 03:15:28,,,0.14,2.43,36.374000120163,7.36,27.2,2.8
Patuxent River - Jug Bay,01-Jan-2010,03:30:28,01-Jan-2010 03:30:28,,,0.15,2.4,36.3200001716614,7.36,27.9,3.3
Patuxent River - Jug Bay,01-Jan-2010,03:45:28,01-Jan-2010 03:45:28,,,0.14,2.38,36.2840002059937,7.36,26.1,2.6
Patuxent River - Jug Bay,01-Jan-2010,04:00:29,01-Jan-2010 04:00:29,,,0.15,2.39,36.3020001888275,7.37,27.4,3.0
Patuxent River - Jug Bay,01-Jan-2010,04:15:29,01-Jan-2010 04:15:29,,,0.14,2.38,36.2840002059937,7.36,25.4,2.9
Patuxent River - Jug Bay,01-Jan-2010,04:30:29,01-Jan-2010 04:30:29,,,0.14,2.39,36.3020001888275,7.36,26.6,3.1
Patuxent River - Jug Bay,01-Jan-2010,04:45:28,01-Jan-2010 04:45:28,,,0.14,2.38,36.2840002059937,7.35,25.9,3.3
Patuxent River - Jug Bay,01-Jan-2010,05:00:28,01-Jan-2010 05:00:28,,,0.14,2.36,36.2479998111725,7.36,25.5,3.0
Patuxent River - Jug Bay,01-Jan-2010,05:15:28,01-Jan-2010 05:15:28,,,0.14,2.34,36.2119998455048,7.37,25.5,3.0
Patuxent River - Jug Bay,01-Jan-2010,05:30:28,01-Jan-2010 05:30:28,,,0.14,2.35,36.2299998283386,7.37,26.8,2.9
Patuxent River - Jug Bay,01-Jan-2010,05:45:28,01-Jan-2010 05:45:28,,,0.15,2.36,36.2479998111725,7.37,26.9,3.1
Patuxent River - Jug Bay,01-Jan-2010,06:00:28,01-Jan-2010 06:00:28,,,0.2,3.54,38.3719999313355,7.36,28.8,2.3
